Country Name,Code,2015
Aruba,ABW,27458.22533
Africa Eastern and Southern,AFE,1479.564123
Afghanistan,AFG,565.5697304
Africa Western and Central,AFW,1845.767804
Angola,AGO,3213.902611
Albania,ALB,3952.803574
Andorra,AND,38654.93472
Arab World,ARB,6203.702636
United Arab Emirates,ARE,43534.99727
Argentina,ARG,13679.6265
Armenia,ARM,3512.393503
American Samoa,ASM,12727.41027
Antigua and Barbuda,ATG,16080.65805
Australia,AUS,56739.02653
Austria,AUT,43915.22802
Azerbaijan,AZE,5500.503646
Burundi,BDI,280.9668313
Belgium,BEL,40893.80454
Benin,BEN,1002.418869
Burkina Faso,BFA,630.1247508
Bangladesh,BGD,1224.386477
Bulgaria,BGR,7078.860323
Bahrain,BHR,23734.05511
"Bahamas, The",BHS,30289.40225
Bosnia and Herzegovina,BIH,4662.258837
Belarus,BLR,5967.06856
Belize,BLZ,6154.495935
Bermuda,BMU,104855.3668
Bolivia,BOL,2996.012898
Brazil,BRA,8936.196618
Barbados,BRB,18954.29137
Brunei Darussalam,BRN,30625.12873
Bhutan,BTN,2954.04082
Botswana,BWA,6141.203947
Central African Republic,CAF,366.3228539
Canada,CAN,43594.1941
Central Europe and the Baltics,CEB,12568.29651
Switzerland,CHE,83806.4476
Channel Islands,CHI,61852.07365
Chile,CHL,13433.9203
China,CHN,8016.445595
Cote d'Ivoire,CIV,1814.718551
Cameroon,CMR,1415.000097
"Congo, Dem. Rep.",COD,467.9145805
"Congo, Rep.",COG,2439.351894
Colombia,COL,6248.514905
Comoros,COM,1329.370482
Cabo Verde,CPV,3415.062667
Costa Rica,CRI,11714.7106
Caribbean small states,CSS,11835.28722
Cuba,CUB,7727.919972
Curacao,CUW,19361.813
Cayman Islands,CYM,76379.20951
Cyprus,CYP,23487.22852
Czechia,CZE,17931.59877
Germany,DEU,41911.01099
Djibouti,DJI,2376.125547
Dominica,DMA,7679.832936
Denmark,DNK,53094.01336
Dominican Republic,DOM,6819.932252
Algeria,DZA,4685.059027
East Asia & Pacific (excluding high income),EAP,6482.993156
Early-demographic dividend,EAR,3211.780127
East Asia & Pacific,EAS,9562.106164
Europe & Central Asia (excluding high income),ECA,6282.673041
Europe & Central Asia,ECS,22657.30949
Ecuador,ECU,5976.159681
"Egypt, Arab Rep.",EGY,3306.981594
Euro area,EMU,34415.61535
Eritrea,ERI,
Spain,ESP,25969.83831
Estonia,EST,17722.15577
Ethiopia,ETH,621.8456738
European Union,EUU,30716.62957
Fragile and conflict affected situations,FCS,1810.689302
Finland,FIN,42560.34568
Fiji,FJI,5097.531088
France,FRA,36702.43237
Faroe Islands,FRO,52635.03755
"Micronesia, Fed. Sts.",FSM,2911.16211
Gabon,GAB,7047.126546
United Kingdom,GBR,44964.39114
Georgia,GEO,4086.622347
Ghana,GHA,1721.699644
Gibraltar,GIB,
Guinea,GIN,747.3569668
"Gambia, The",GMB,619.5363643
Guinea-Bissau,GNB,645.0668372
Equatorial Guinea,GNQ,9068.910032
Greece,GRC,17980.72982
Grenada,GRD,8694.12438
Greenland,GRL,44536.35497
Guatemala,GTM,3893.505218
Guam,GUM,35165.70146
Guyana,GUY,5640.415606
High income,HIC,36650.44901
"Hong Kong SAR, China",HKG,42432.16197
Honduras,HND,2271.20266
Heavily indebted poor countries (HIPC),HPC,909.4943523
Croatia,HRV,12285.30326
Haiti,HTI,1411.126847
Hungary,HUN,12717.0386
IBRD only,IBD,5525.004907
IDA & IBRD total,IBT,4458.110831
IDA total,IDA,1346.696932
IDA blend,IDB,1953.901452
Indonesia,IDN,3288.222697
IDA only,IDX,1036.870897
Isle of Man,IMN,84753.51874
India,IND,1583.998159
Not classified,INX,
Ireland,IRL,64311.82347
"Iran, Islamic Rep.",IRN,4952.733555
Iraq,IRQ,4440.141893
Iceland,ISL,52951.68151
Israel,ISR,36123.99079
Italy,ITA,30387.12932
Jamaica,JAM,5062.895565
Jordan,JOR,4042.756781
Japan,JPN,34960.63938
Kazakhstan,KAZ,10196.12263
Kenya,KEN,1489.119598
Kyrgyz Republic,KGZ,1105.65203
Cambodia,KHM,1547.320104
Kiribati,KIR,1639.852743
St. Kitts and Nevis,KNA,20328.80035
"Korea, Rep.",KOR,28737.43917
Kuwait,KWT,29882.21269
Latin America & Caribbean (excluding high income),LAC,8337.145994
Lao PDR,LAO,2121.013391
Lebanon,LBN,7714.11
Liberia,LBR,692.5900824
Libya,LBY,7458.489178
St. Lucia,LCA,10334.92256
Latin America & Caribbean,LCN,8759.806397
Least developed countries: UN classification,LDC,964.4497934
Low income,LIC,705.461511
Liechtenstein,LIE,167187.1573
Sri Lanka,LKA,4060.131397
Lower middle income,LMC,1841.845261
Low & middle income,LMY,4187.844069
Lesotho,LSO,1121.198513
Late-demographic dividend,LTE,8228.521903
Lithuania,LTU,14300.25537
Luxembourg,LUX,105462.0126
Latvia,LVA,13321.97531
"Macao SAR, China",MAC,70070.2918
St. Martin (French part),MAF,
Morocco,MAR,3146.247803
Monaco,MCO,170437.1012
Moldova,MDA,2749.551371
Madagascar,MDG,445.3200695
Maldives,MDV,9644.90655
Middle East & North Africa,MEA,7228.308895
Mexico,MEX,10021.23861
Marshall Islands,MHL,3764.344262
Middle income,MIC,4565.927446
North Macedonia,MKD,5262.686719
Mali,MLI,704.8216464
Malta,MLT,25481.89776
Myanmar,MMR,1166.733055
Middle East & North Africa (excluding high income),MNA,3803.871106
Montenegro,MNE,6517.192675
Mongolia,MNG,3838.92127
Northern Mariana Islands,MNP,17665.10075
Mozambique,MOZ,610.5637747
Mauritania,MRT,1554.948979
Mauritius,MUS,9507.871337
Malawi,MWI,539.6053632
Malaysia,MYS,9648.679794
North America,NAC,55702.08946
Namibia,NAM,4774.106509
New Caledonia,NCL,30858.72371
Niger,NER,485.6625742
Nigeria,NGA,2585.733607
Nicaragua,NIC,2074.454465
Netherlands,NLD,45793.81354
Norway,NOR,74809.9658
Nepal,NPL,875.5436355
Nauru,NRU,7703.431499
New Zealand,NZL,38639.35019
OECD members,OED,35784.87052
Oman,OMN,18808.30779
Other small states,OSS,11735.68808
Pakistan,PAK,1380.470208
Panama,PAN,14082.65485
Peru,PER,6231.711503
Philippines,PHL,2909.85818
Palau,PLW,15690.75865
Papua New Guinea,PNG,2484.59634
Poland,POL,12637.52203
Pre-demographic dividend,PRE,1501.738126
Puerto Rico,PRI,29763.4883
"Korea, Dem. People's Rep.",PRK,
Portugal,PRT,19215.7813
Paraguay,PRY,5879.337923
West Bank and Gaza,PSE,3272.154324
Pacific island small states,PSS,3710.012348
Post-demographic dividend,PST,40778.34095
French Polynesia,PYF,19166.95948
Qatar,QAT,68985.2947
Romania,ROU,8977.017482
Russian Federation,RUS,9277.713867
Rwanda,RWA,733.998585
South Asia,SAS,1528.46686
Saudi Arabia,SAU,22453.57155
Sudan,SDN,1292.379639
Senegal,SEN,1218.006136
Singapore,SGP,55645.60686
Solomon Islands,SLB,2045.478895
Sierra Leone,SLE,945.1481685
El Salvador,SLV,3790.340891
San Marino,SMR,43146.82404
Somalia,SOM,445.5830786
Serbia,SRB,5820.321558
Sub-Saharan Africa (excluding high income),SSA,1627.664043
South Sudan,SSD,1080.147186
Sub-Saharan Africa,SSF,1628.912857
Small states,SST,10690.61751
Sao Tome and Principe,STP,1298.109466
Suriname,SUR,8813.617054
Slovak Republic,SVK,16442.07609
Slovenia,SVN,20697.27485
Sweden,SWE,51197.95293
Eswatini,SWZ,3393.533678
Sint Maarten (Dutch part),SXM,37839.62838
Seychelles,SYC,15333.10517
Syrian Arab Republic,SYR,847.7316319
Turks and Caicos Islands,TCA,25736.10163
Chad,TCD,747.5884485
East Asia & Pacific (IDA & IBRD countries),TEA,6556.498726
Europe & Central Asia (IDA & IBRD countries),TEC,8001.112292
Togo,TGO,751.0524051
Thailand,THA,5688.853354
Tajikistan,TJK,956.9163109
Turkmenistan,TKM,5759.497904
Latin America & the Caribbean (IDA & IBRD countries),TLA,8617.552912
Timor-Leste,TLS,1319.592974
Middle East & North Africa (IDA & IBRD countries),TMN,3809.846682
Tonga,TON,4123.90324
South Asia (IDA & IBRD),TSA,1528.46686
Sub-Saharan Africa (IDA & IBRD countries),TSS,1628.912857
Trinidad and Tobago,TTO,20024.75466
Tunisia,TUN,4014.947737
Turkiye,TUR,11049.99511
Tuvalu,TUV,3357.834177
Tanzania,TZA,939.1273193
Uganda,UGA,862.9346104
Ukraine,UKR,2094.473877
Upper middle income,UMC,7359.58787
Uruguay,URY,17125.90168
United States,USA,57040.20821
Uzbekistan,UZB,2803.19018
St. Vincent and the Grenadines,VCT,7353.735561
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,34007.35294
Viet Nam,VNM,2577.568853
Vanuatu,VUT,2746.591719
World,WLD,10142.14348
Samoa,WSM,4084.360838
Kosovo,XKX,3520.628507
"Yemen, Rep.",YEM,1362.173794
South Africa,ZAF,6112.273825
Zambia,ZMB,1295.877887
Zimbabwe,ZWE,1386.422847
